WORD
purple
red
blue
green
red
blue
green
brown
purple
brown
red
blue
brown
purple
green
brown
red
purple
blue
green
blue
green
red
brown
purple
red
purple
green
brown
blue
brown
purple
green
blue
brown
purple
blue
red
green
red
green
brown
purple
red
blue
green
brown
blue
red
purple
brown
purple
green
blue
brown
purple
blue
red
green
red
red
blue
brown
purple
green
brown
red
purple
blue
green
purple
red
blue
green
red
blue
green
brown
purple
brown
green
brown
purple
red
blue
green
brown
blue
red
purple
blue
green
red
brown
purple
red
purple
green
brown
blue
