COLUMNS
"table,sit,legs,seat,couch,desk,recliner,sofa,wood,cushion,swivel,stool"
"hill,valley,climb,summit,top,molehill,peak,plain,glacier,goat,bike,climber"
"thread,pin,eye,sewing,sharp,point,prick,thimble,haystack,thorn,hurt,injection"
"smooth,bumpy,road,tough,sandpaper,jagged,ready,coarse,uneven,riders,rugged,sand"
"bed,rest,awake,tired,dream,wake,snooze,blanket,doze,slumber,snore,nap"
"sour,candy,sugar,bitter,good,taste,tooth,nice,honey,soda,chocolate,heart"
"sit,bench,snow,rocking,recliner,frigid,chair"
"valley,range,sound,steep,peak,melody,mountain"
"pin,syringe,stream,cloth,prick,swim,needle"
"bumpy,boards,lethargic,ground,ready,delay,rough"
"rest,peace,light,yawn,snooze,fur,sleep"
"candy,cake,robber,tart,tooth,bad,sweet"
